,piece,moves,last_square,captured,captures,move_nums,game_id,mean_elo,Checkmate,Termination
14,♙-g2,[],14,False,[],[],7b44wxzu,1758.5,False,Normal
13,♙-f2,[],13,False,[],[],7b44wxzu,1758.5,False,Normal
12,♙-e2,"[28, 35]",35,True,['♟-d7'],"[0, 42]",7b44wxzu,1758.5,False,Normal
11,♙-d2,[19],19,False,[],[6],7b44wxzu,1758.5,False,Normal
10,♙-c2,"[26, 34]",34,False,[],"[2, 40]",7b44wxzu,1758.5,False,Normal
9,♙-b2,[25],25,False,[],[30],7b44wxzu,1758.5,False,Normal
8,♙-a2,[16],16,False,[],[8],7b44wxzu,1758.5,False,Normal
7,♖-h1,"[5, 4]",4,False,[],[54],7b44wxzu,1758.5,False,Normal
6,♘-g1,[21],21,True,[],[4],7b44wxzu,1758.5,False,Normal
5,♗-f1,"[12, 39]",39,False,['♟-h7'],"[14, 48]",7b44wxzu,1758.5,False,Normal
4,♔-e1,[6],6,False,[],[18],7b44wxzu,1758.5,False,Normal
3,♕-d1,"[21, 30, 22, 20, 36, 63]",63,False,"['♝-c8', '♟-e7', '♜-h8']","[12, 24, 34, 36, 44, 46]",7b44wxzu,1758.5,False,Normal
2,♗-c1,"[11, 20, 48]",48,True,['♝-f8'],"[20, 26, 28]",7b44wxzu,1758.5,False,Normal
1,♘-b1,"[18, 24, 41]",41,False,[],"[16, 32, 38]",7b44wxzu,1758.5,False,Normal
0,♖-a1,"[1, 4, 52]",52,True,['♞-b8'],"[22, 50, 52]",7b44wxzu,1758.5,False,Normal
63,♜-h8,"[61, 59]",59,False,[],[63],7rzcutsf,1307.0,False,Normal
62,♞-g8,"[47, 37, 27, 44]",44,True,"['♗-c1', '♙-d2']","[9, 11, 15, 25]",7rzcutsf,1307.0,False,Normal
61,♝-f8,[47],47,True,[],[7],7rzcutsf,1307.0,False,Normal
60,♚-e8,"[62, 63, 54]",54,False,[],"[13, 39, 67]",7rzcutsf,1307.0,False,Normal
59,♛-d8,"[38, 22, 23, 14, 22, 23]",23,True,"['♙-g2', '♖-h1']","[33, 41, 43, 45, 55, 57]",7rzcutsf,1307.0,False,Normal
58,♝-c8,"[51, 44, 23]",23,True,"['♘-g1', '♙-h2']","[17, 27, 31]",7rzcutsf,1307.0,False,Normal
57,♞-b8,"[51, 45, 30, 36, 42]",42,True,[],"[35, 37, 51, 53, 61]",7rzcutsf,1307.0,False,Normal
56,♜-a8,"[60, 52, 50]",50,True,['♘-b1'],"[49, 59, 69]",7rzcutsf,1307.0,False,Normal
55,♟-h7,"[39, 31, 23]",23,True,[],"[21, 29, 47]",7rzcutsf,1307.0,False,Normal
54,♟-g7,[46],46,False,[],[5],7rzcutsf,1307.0,False,Normal
53,♟-f7,[45],45,False,[],[71],7rzcutsf,1307.0,False,Normal
52,♟-e7,[44],44,True,[],[23],7rzcutsf,1307.0,False,Normal
51,♟-d7,[43],43,True,[],[3],7rzcutsf,1307.0,False,Normal
50,♟-c7,[34],34,True,[],[1],7rzcutsf,1307.0,False,Normal
49,♟-b7,[],49,False,[],[],7rzcutsf,1307.0,False,Normal
48,♟-a7,"[40, 32]",32,False,[],"[19, 65]",7rzcutsf,1307.0,False,Normal
15,♙-h2,[23],23,True,[],[30],7rzcutsf,1307.0,False,Normal
14,♙-g2,[23],23,True,['♝-c8'],[32],7rzcutsf,1307.0,False,Normal
13,♙-f2,[21],21,False,[],[40],7rzcutsf,1307.0,False,Normal
12,♙-e2,[28],28,False,[],[14],7rzcutsf,1307.0,False,Normal
11,♙-d2,"[27, 35, 44]",44,True,['♟-e7'],"[0, 12, 24]",7rzcutsf,1307.0,False,Normal
10,♙-c2,[26],26,False,[],[2],7rzcutsf,1307.0,False,Normal
9,♙-b2,[],9,False,[],[],7rzcutsf,1307.0,False,Normal
8,♙-a2,[],8,False,[],[],7rzcutsf,1307.0,False,Normal
7,♖-h1,"[5, 4, 7, 23]",23,True,['♟-h7'],"[22, 44, 56]",7rzcutsf,1307.0,False,Normal
6,♘-g1,"[21, 38, 44]",44,True,['♞-g8'],"[6, 20, 26]",7rzcutsf,1307.0,False,Normal
5,♗-f1,"[19, 5, 23, 51, 42]",42,False,"['♛-d8', '♞-b8']","[16, 50, 58, 66, 68]",7rzcutsf,1307.0,False,Normal
4,♔-e1,"[6, 5, 12, 20, 19, 18]",18,False,[],"[18, 34, 42, 46, 52, 54]",7rzcutsf,1307.0,False,Normal
3,♕-d1,"[24, 3, 43, 34, 36, 50]",50,False,"['♟-d7', '♟-c7', '♜-a8']","[36, 48, 60, 64, 70, 72]",7rzcutsf,1307.0,False,Normal
2,♗-c1,"[29, 47]",47,True,['♝-f8'],"[4, 8]",7rzcutsf,1307.0,False,Normal
